ID,activity_date,start_date,end_date,activity,activity_details,duration_min,source,weekday,weekday_name
191,12/27/2020 19:14,12/27/2020 19:14,12/27/2020 19:29,Caminata,HIGH ,15,Google Maps,7,Domingo
192,12/27/2020 21:55,12/27/2020 21:55,12/27/2020 22:12,Caminata,HIGH ,17,Google Maps,7,Domingo
193,12/29/2020 5:31,12/29/2020 5:31,12/29/2020 5:47,Caminata,HIGH ,16,Google Maps,2,Martes
194,12/29/2020 17:22,12/29/2020 17:22,12/29/2020 17:41,Bicicleta,HIGH ,19,Google Maps,2,Martes
195,12/29/2020 17:57,12/29/2020 17:57,12/29/2020 18:23,Bicicleta,HIGH ,26,Google Maps,2,Martes
196,12/29/2020 18:39,12/29/2020 18:39,12/29/2020 19:24,Bicicleta,HIGH ,45,Google Maps,2,Martes
197,12/29/2020 20:07,12/29/2020 20:07,12/29/2020 20:45,Bicicleta,HIGH ,38,Google Maps,2,Martes
198,1/2/2021 0:44,1/2/2021 0:44,1/2/2021 1:03,Caminata,HIGH ,19,Google Maps,6,Sábado
85,1/4/2021 7:35,1/4/2021 7:35,,Workout,,12,DogDown App,1,Lunes
84,1/5/2021 7:35,1/5/2021 7:35,,Workout,,12,DogDown App,2,Martes
281,1/5/2021 19:17,,,Yoga,MalovaElena,52,YouTube,2,Martes
83,1/6/2021 7:35,1/6/2021 7:35,,Workout,,12,DogDown App,3,Miércoles
82,1/7/2021 7:39,1/7/2021 7:39,,Workout,,12,DogDown App,4,Jueves
199,1/8/2021 0:55,1/8/2021 0:55,1/8/2021 1:28,Caminata,HIGH ,33,Google Maps,5,Viernes
81,1/8/2021 7:33,1/8/2021 7:33,,Workout,,10,DogDown App,5,Viernes
80,1/11/2021 7:35,1/11/2021 7:35,,Workout,,15,DogDown App,1,Lunes
282,1/11/2021 8:53,,,Yoga,MalovaElena,11,YouTube,1,Lunes
200,1/12/2021 0:09,1/12/2021 0:09,1/12/2021 0:48,Caminata,HIGH ,39,Google Maps,2,Martes
79,1/12/2021 7:36,1/12/2021 7:36,,Workout,,15,DogDown App,2,Martes
201,1/13/2021 0:47,1/13/2021 0:47,1/13/2021 1:25,Caminata,HIGH CONFIRMED,38,Google Maps,3,Miércoles
